date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:26	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2020%20Jul%202020%2011:19:24%20GMT	http://jhuans-initial-project.webflow.io/robots.txt		(from )
08:19:27	4621/4621	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2011:19:24%20GMT	http://jhuans-initial-project.webflow.io/	C:/Meus%20Sites/SiteAjudaAe/jhuans-initial-project.webflow.io/index.html	(from )
08:19:28	46450/46450	---M-Z	200	added ('OK')	text/css	etag:%22c3ca14c075963e60e40c44fc63ffb1d9%22	https://uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/css/jhuans-initial-project.webflow.88328fb55.css	C:/Meus%20Sites/SiteAjudaAe/uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/css/jhuans-initial-project.webflow.88328fb55.css	(from http://jhuans-initial-project.webflow.io/)
08:19:28	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Meus%20Sites/SiteAjudaAe/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from http://jhuans-initial-project.webflow.io/)
08:19:29	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/Meus%20Sites/SiteAjudaAe/uploads-ssl.webflow.com/img/webclip.png	(from http://jhuans-initial-project.webflow.io/)
08:19:29	17314/17314	---M--	200	added ('OK')	image/png	etag:%22d0a1de7f07a8ff0ecf46a427caa92a9f%22	https://uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/5f156a8f710ab971f75aabb0_your-logo.png	C:/Meus%20Sites/SiteAjudaAe/uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/5f156a8f710ab971f75aabb0_your-logo.png	(from http://jhuans-initial-project.webflow.io/)
08:19:29	3218/3218	---M--	200	added ('OK')	image/png	etag:%22971c77176940a0ca1c0db6db5c42d2ef%22	https://uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/5f1573bf98a06f59f8f3826b_download.png	C:/Meus%20Sites/SiteAjudaAe/uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/5f1573bf98a06f59f8f3826b_download.png	(from http://jhuans-initial-project.webflow.io/)
08:19:29	88145/88145	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2027%20Jun%202019%2018:13:30%20GMT	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.4.1.min.220afd743d.js?site=5f156a04c3ac6eaf342fdd56	C:/Meus%20Sites/SiteAjudaAe/d3e54v103j8qbb.cloudfront.net/js/jquery-3.4.1.min.220afd743d54ea.js	(from http://jhuans-initial-project.webflow.io/)
08:19:30	90678/90678	---M-Z	200	added ('OK')	text/javascript	etag:%2270ed8c0cce54eff8270e78c5abe2d5a7%22	https://uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/js/webflow.4c5a9eb9f.js	C:/Meus%20Sites/SiteAjudaAe/uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/js/webflow.4c5a9eb9f.js	(from http://jhuans-initial-project.webflow.io/)
08:19:30	3618/3618	---M--	200	added ('OK')	image/png	etag:%2216816fe6bf01abe1fec12aa0e42d17b0%22	https://d3e54v103j8qbb.cloudfront.net/img/example-bg.png	C:/Meus%20Sites/SiteAjudaAe/d3e54v103j8qbb.cloudfront.net/img/example-bg.png	(from https://uploads-ssl.webflow.com/5f156a04c3ac6eaf342fdd56/css/jhuans-initial-project.webflow.88328fb55.css)
